frame,expr_l2,theta_l2,expr_cosine
298,6.02352,1.4880669,
299,6.4721527,1.4969332,
300,5.4958982,1.5438142,
301,5.706313,1.5507355,
302,5.838585,1.5556691,
303,5.5535398,1.5455141,
304,4.8747125,1.5439515,
305,5.359135,1.5497608,
306,5.4699,1.5493283,
307,5.3061566,1.5450394,
308,5.0907373,1.5427605,
309,5.166488,1.5579803,
310,5.273009,1.5506266,
311,5.091848,1.540015,
312,5.055057,1.5499017,
313,4.625629,1.5606207,
314,4.402141,1.5543011,
315,4.8120055,1.5500157,
316,5.291767,1.5449469,
317,4.6121407,1.5450609,
318,5.3958097,1.5356079,
319,5.8404145,1.5409142,
320,6.1304507,1.5195007,
321,5.794474,1.521484,
322,5.783982,1.5066272,
323,6.070971,1.4880669,
324,6.2742805,1.4969332,
325,5.8360133,1.4963014,
326,6.190457,1.5096693,
327,6.1062694,1.5114523,
328,6.0364075,1.5256243,
329,5.7373424,1.5319288,
330,4.4712586,1.5201538,
331,5.92246,1.5139803,
332,6.1690707,1.5265563,
333,6.20078,1.5146153,
334,4.944488,1.5228676,
335,4.360513,1.5326983,
336,3.9116268,1.5379815,
337,4.8829546,1.5151181,
338,6.4879103,1.5046918,
339,6.107639,1.5067248,
340,4.5249057,1.520228,
341,5.045011,1.51854,
342,4.276488,1.5256218,
343,4.8538203,1.5232816,
344,5.2625723,1.5289688,
345,4.8878617,1.527636,
346,5.1430945,1.5263336,
347,4.9604344,1.5336587,
348,4.9598613,1.5423106,
349,4.9322863,1.5385791,
350,5.9732356,1.4963014,
351,6.0948596,1.5096693,
352,6.1906743,1.5114523,
353,6.2677693,1.5256243,
354,5.7068005,1.5319288,
355,4.2985272,1.5201538,
356,5.8445673,1.5139803,
357,5.8676243,1.5265563,
358,6.193898,1.5146153,
359,4.986115,1.5228676,
360,4.3815327,1.5326983,
361,4.060112,1.5379815,
362,4.9883537,1.5151181,
363,6.5403457,1.5046918,
364,5.9027658,1.5067248,
365,4.568915,1.520228,
366,4.92145,1.51854,
367,4.4133573,1.5256218,
368,5.155987,1.5232816,
369,5.071335,1.5289688,
370,5.0441284,1.527636,
371,4.8392477,1.5263336,
372,5.092085,1.5336587,
373,4.932703,1.5423106,
374,4.9474297,1.5385791,
375,5.1582847,1.5403616,
376,5.3107796,1.5288533,
377,5.972387,1.5298349,
378,6.054696,1.5216624,
379,5.9368734,1.5162485,
380,5.740631,1.5413946,
381,5.7966995,1.5467736,
382,6.1181445,1.5369147,
383,5.945061,1.530222,
384,6.1866055,1.5204343,
385,6.602834,1.5235516,
386,6.0469975,1.5305382,
387,6.019359,1.5401162,
388,5.731283,1.5463626,
389,5.940728,1.5490711,
390,5.6331096,1.5483384,
391,6.019498,1.5419419,
392,5.871522,1.5482854,
393,5.563734,1.5430782,
394,3.9301662,1.5652672,
395,3.8799667,1.5774271,
396,5.5161004,1.5685706,
397,5.488491,1.5610739,
398,4.8244376,1.5585006,
399,4.3579507,1.5525893,
400,5.2612677,1.4916943,
401,4.7355766,1.5084633,
402,5.9314704,1.5053443,
403,5.610467,1.5096666,
404,5.4194026,1.5137904,
405,5.1212664,1.5164872,
406,6.0030336,1.5089777,
407,6.4691105,1.5003228,
408,6.918643,1.4963071,
409,6.669108,1.4975529,
410,6.2126517,1.5021176,
411,6.269883,1.5128766,
412,6.4571805,1.5154678,
413,6.2141533,1.5215018,
414,5.0914125,1.5287911,
415,5.4709096,1.5279235,
416,5.766142,1.5230372,
417,5.4864135,1.5201739,
418,5.8149457,1.5072343,
419,6.2127724,1.5013018,
420,5.3882823,1.5117365,
421,5.7091947,1.515368,
422,5.293477,1.5231129,
423,4.244591,1.5300962,
424,4.238313,1.5256443,
425,5.251787,1.5197585,
426,5.5249214,1.5129588,
427,5.4593205,1.5060503,
428,4.9426646,1.5138859,
429,5.004991,1.5204349,
430,4.843894,1.5158428,
431,4.83061,1.5160494,
432,5.181206,1.5166974,
433,5.260352,1.5092157,
434,5.4289308,1.5133356,
435,5.382849,1.5150696,
436,5.849884,1.5163282,
437,5.773033,1.5211947,
438,5.7517233,1.5235943,
439,5.923837,1.5200536,
440,6.0829835,1.517323,
441,6.3074055,1.5266002,
442,6.003788,1.5311815,
443,4.6703477,1.5438353,
444,4.906302,1.5522344,
445,5.0522394,1.5507898,
446,4.687314,1.5383817,
447,4.8174496,1.5223029,
448,5.556156,1.5053926,
449,5.878157,1.4932166,
450,5.3440866,1.5197585,
451,5.2495704,1.5129588,
452,5.3484454,1.5060503,
453,4.9823217,1.5138859,
454,5.032197,1.5204349,
455,4.9254394,1.5158428,
456,4.9624224,1.5160494,
457,5.228352,1.5166974,
458,5.130855,1.5092157,
459,5.505758,1.5133356,
460,5.1657343,1.5150696,
461,5.8387327,1.5163282,
462,5.876924,1.5211947,
463,5.8339314,1.5235943,
464,6.051135,1.5200536,
465,6.1757255,1.517323,
466,6.4909406,1.5266002,
467,6.1042686,1.5311815,
468,4.681765,1.5438353,
469,4.9300895,1.5522344,
470,5.001608,1.5507898,
471,4.599342,1.5383817,
472,4.9290276,1.5223029,
473,5.7817664,1.5053926,
474,6.344623,1.4932166,
475,5.8824806,1.48445,
476,5.5341663,1.4792329,
477,5.283047,1.4808466,
478,5.1422563,1.4927977,
479,5.1893363,1.4949976,
480,5.095922,1.4988409,
